comment_text,like_count,published_at
"Me in comments: why tf everyone is like ""no one literally no one""
edit: Why tf everyone is saying same thing in comments tf
They got virus or wat it is annoying stop
Edit: why it says 6.1m views but when u tap it is 457k views",351,2020-06-26T10:01:45Z
"After seeing mv me- omg i cant breath after seeing this
My mom- wait u cant breath i am sure u got corona lemme take u to hospatail",329,2020-06-26T09:04:35Z
"Literally Everyone:
""Nobody :
Literally no one :
Someone: ...""",137,2020-06-26T09:42:19Z
It all started with this spoon and now I'm a blink🎉🎉🎉🎉🎉🎉🎉,2,2025-07-13T02:29:18Z
"My last brain cell at 2 pm


“Ha how you like that” :/",466,2020-06-26T09:06:13Z
"Me and my boyfriend after a breakup : 

“Look at you now look at me”",505,2020-06-26T09:37:00Z
Dancers must be on overtime today in order to post dance cover early tomorrow,613,2020-06-26T15:47:14Z
this is the biggest comeback in history 🤯❤️‍🔥❤️‍🔥❤️‍🔥,1,2025-07-19T01:43:54Z
I have reported some of these ‘no one’ comments as ‘spam’ they serve no purpose or meaning! And annoying AF. Blink let’s report these spammers! YouTube might delete all of them at once!!,472,2020-06-26T15:48:05Z
"me in their yt live: ""the subtitle person better type FASTTT""

YG (blackpink): ""yea we're not doing that""",161,2020-06-26T08:57:17Z
We still have 2 hours we can get 100 if we try hard,456,2020-06-27T07:43:49Z
this was so iconic its insane,1,2025-07-15T13:41:16Z
"Nobody:
Youtube: lets freeze the views",844,2020-06-26T09:33:19Z
"no crean en lo que se dice en los comentarios, NO BORREN EL HISTORIAL",231,2020-12-15T06:54:51Z
"No one: 

Me: ""loOk aT yoU nOw lOok At mE""",295,2020-06-26T09:24:54Z
Blackpink is the best kpop group,2,2025-07-12T14:32:11Z
"Guys the statue of genesha in Lisa rap 
Has been edited out at 1:20",158,2020-06-30T05:10:33Z
"no one:
literally no one:
me after watching: HA- HOW U LIKE DAAT",557,2020-06-26T09:02:52Z
"Me having a bad day:

Jennie: *look at you now look at me*
Me: ...",173,2020-06-26T09:47:30Z
Queens❤,1,2025-07-24T02:38:36Z
"no one:
literally no one:
the comments: “no one:
literally no one:
the comments: “the comments: “No OnE: LiTeraLLy No OnE:” ””",356,2020-06-26T08:58:19Z
"All these ppl:(comment same)
Me: BP run the game in high hillls!......BP in your area!
BP: du ddu du ddu(slaps talent 1:50)",369,2020-06-26T15:47:52Z
"Literally no one :

Ppl in the comment sec :

 ""no one: """,152,2020-06-26T09:38:42Z
Jamás me cansaré de esta obra de arte 😫🩷,1,2025-07-11T20:01:18Z
Jennie: Look at you now look at me.,138,2020-06-26T09:06:27Z
"Blackpink: look at you now look at me.
Me: Died.",167,2020-06-26T09:11:08Z
"Bp: How you like that?
Blinks: We loved that 
Thanks for coming back unnies",121,2020-06-26T09:30:19Z
BLACKPINK literally slayedddd My queensss 🖤💗,0,2025-07-11T06:16:36Z
i can't stand straightly. i want u guys to see everytime on the screen,272,2020-06-26T09:03:09Z
"2:45 : 
DumdumdumDuruRum DumdumdumDuruRum  DumdumdumDuruRum DumdumdumDuruRum DumdumdumDuruRum",812,2020-06-26T15:47:11Z
